card_1,card_2,card_1_W,card_1_L,Games Played,card_1_overall_rating,card_1_matchup_rating
Baby Dragon,Barbarian Hut,0,1,1,0.4663,0.404
Baby Dragon,Berserker,1,0,1,0.4663,0.82
Baby Dragon,Dart Goblin,2,0,2,0.4663,0.8472
Baby Dragon,Electro Spirit,3,4,7,0.4663,0.441
Baby Dragon,Electro Wizard,1,1,2,0.4663,0.5
Baby Dragon,Elixir Golem,0,0,0,0.4663,0.5625
Baby Dragon,Executioner,0,0,0,0.4663,0.5625
Baby Dragon,Fireball,4,3,7,0.4663,0.559
Baby Dragon,Fisherman,0,0,0,0.4663,0.5625
Baby Dragon,Flying Machine,2,1,3,0.4663,0.6224
Baby Dragon,Furnace,0,0,0,0.4663,0.5625
Baby Dragon,Giant,0,0,0,0.4663,0.5625
Baby Dragon,Giant Snowball,0,0,0,0.4663,0.5625
Baby Dragon,Goblin Barrel,1,1,2,0.4663,0.5
Baby Dragon,Goblin Demolisher,1,1,2,0.4663,0.5
Baby Dragon,Goblin Drill,0,0,0,0.4663,0.5625
Baby Dragon,Goblin Giant,0,0,0,0.4663,0.5625
Baby Dragon,Goblin Hut,3,5,8,0.4663,0.395
Baby Dragon,Golem,4,2,6,0.4663,0.635
Baby Dragon,Graveyard,0,2,2,0.4663,0.3958
Baby Dragon,Hunter,0,0,0,0.4663,0.5625
Baby Dragon,Ice Spirit,3,5,8,0.4663,0.395
Baby Dragon,Ice Wizard,0,0,0,0.4663,0.5625
Baby Dragon,Inferno Tower,0,0,0,0.4663,0.5625
Baby Dragon,Knight,1,4,5,0.4663,0.3815
Baby Dragon,Lava Hound,0,0,0,0.4663,0.5625
Baby Dragon,Mega Knight,0,0,0,0.4663,0.5625
Baby Dragon,Mortar,0,0,0,0.4663,0.5625
Baby Dragon,Mother Witch,0,0,0,0.4663,0.5625
Baby Dragon,Musketeer,3,5,8,0.4663,0.395
Baby Dragon,Night Witch,0,0,0,0.4663,0.5625
Baby Dragon,P.E.K.K.A,0,0,0,0.4663,0.5625
Baby Dragon,Poison,1,3,4,0.4663,0.3852
Baby Dragon,Princess,0,0,0,0.4663,0.5625
Baby Dragon,Rage,0,0,0,0.4663,0.5625
Baby Dragon,Ram Rider,0,0,0,0.4663,0.5625
Baby Dragon,Rascals,5,3,8,0.4663,0.605
Baby Dragon,Rocket,0,0,0,0.4663,0.5625
Baby Dragon,Royal Delivery,0,0,0,0.4663,0.5625
Baby Dragon,Royal Giant,2,2,4,0.4663,0.5
Baby Dragon,Rune Giant,0,1,1,0.4663,0.404
Baby Dragon,Suspicious Bush,3,1,4,0.4663,0.6914
Baby Dragon,The Log,1,4,5,0.4663,0.3815
Baby Dragon,Tombstone,3,2,5,0.4663,0.579
Baby Dragon,Vines,1,3,4,0.4663,0.3852
Baby Dragon,Witch,2,1,3,0.4663,0.6224
Baby Dragon,Wizard,0,0,0,0.4663,0.5625
Baby Dragon,X-Bow,1,1,2,0.4663,0.5
Baby Dragon,Zappies,0,0,0,0.4663,0.5625
Barbarian Hut,Baby Dragon,1,0,1,0.6769,0.82
Barbarian Hut,Berserker,0,0,0,0.6769,0.5625
Barbarian Hut,Dart Goblin,0,0,0,0.6769,0.5625
Barbarian Hut,Electro Spirit,4,1,5,0.6769,0.737
Barbarian Hut,Electro Wizard,1,1,2,0.6769,0.5
Barbarian Hut,Elixir Golem,0,0,0,0.6769,0.5625
Barbarian Hut,Executioner,0,0,0,0.6769,0.5625
Barbarian Hut,Fireball,3,0,3,0.6769,0.8673
Barbarian Hut,Fisherman,0,0,0,0.6769,0.5625
Barbarian Hut,Flying Machine,2,1,3,0.6769,0.6224
Barbarian Hut,Furnace,0,0,0,0.6769,0.5625
Barbarian Hut,Giant,0,0,0,0.6769,0.5625
Barbarian Hut,Giant Snowball,0,0,0,0.6769,0.5625
Barbarian Hut,Goblin Barrel,2,0,2,0.6769,0.8472
Barbarian Hut,Goblin Demolisher,2,0,2,0.6769,0.8472
Barbarian Hut,Goblin Drill,0,0,0,0.6769,0.5625
Barbarian Hut,Goblin Giant,0,0,0,0.6769,0.5625
Barbarian Hut,Goblin Hut,1,2,3,0.6769,0.3898
Barbarian Hut,Golem,2,0,2,0.6769,0.8472
Barbarian Hut,Graveyard,0,1,1,0.6769,0.404
Barbarian Hut,Hunter,1,0,1,0.6769,0.82
Barbarian Hut,Ice Spirit,2,2,4,0.6769,0.5
Barbarian Hut,Ice Wizard,1,0,1,0.6769,0.82
Barbarian Hut,Inferno Tower,0,0,0,0.6769,0.5625
Barbarian Hut,Knight,1,1,2,0.6769,0.5
Barbarian Hut,Lava Hound,0,0,0,0.6769,0.5625
Barbarian Hut,Mega Knight,0,0,0,0.6769,0.5625
Barbarian Hut,Mortar,1,0,1,0.6769,0.82
Barbarian Hut,Mother Witch,0,0,0,0.6769,0.5625
Barbarian Hut,Musketeer,0,1,1,0.6769,0.404
Barbarian Hut,Night Witch,0,0,0,0.6769,0.5625
Barbarian Hut,P.E.K.K.A,0,0,0,0.6769,0.5625
Barbarian Hut,Poison,0,1,1,0.6769,0.404
Barbarian Hut,Princess,1,0,1,0.6769,0.82
Barbarian Hut,Rage,0,0,0,0.6769,0.5625
Barbarian Hut,Ram Rider,0,0,0,0.6769,0.5625
Barbarian Hut,Rascals,2,1,3,0.6769,0.6224
Barbarian Hut,Rocket,0,0,0,0.6769,0.5625
Barbarian Hut,Royal Delivery,0,0,0,0.6769,0.5625
Barbarian Hut,Royal Giant,1,0,1,0.6769,0.82
Barbarian Hut,Rune Giant,0,0,0,0.6769,0.5625
Barbarian Hut,Suspicious Bush,2,1,3,0.6769,0.6224
Barbarian Hut,The Log,2,2,4,0.6769,0.5
Barbarian Hut,Tombstone,4,1,5,0.6769,0.737
Barbarian Hut,Vines,0,0,0,0.6769,0.5625
Barbarian Hut,Witch,2,0,2,0.6769,0.8472
Barbarian Hut,Wizard,1,0,1,0.6769,0.82
Barbarian Hut,X-Bow,1,0,1,0.6769,0.82
Barbarian Hut,Zappies,0,0,0,0.6769,0.5625
Berserker,Baby Dragon,0,1,1,0.3785,0.404
Berserker,Barbarian Hut,0,0,0,0.3785,0.5625
Berserker,Dart Goblin,0,0,0,0.3785,0.5625
Berserker,Electro Spirit,0,3,3,0.3785,0.3898
Berserker,Electro Wizard,0,1,1,0.3785,0.404
Berserker,Elixir Golem,0,0,0,0.3785,0.5625
