game,timestamp,winner,loser,winner_delta,loser_delta,Kevin,Laurent,Alex,Jason,Andrew,Brooks
1,2026-03-17T06:52:25Z,Brooks,Andrew,+16.0,-16.0,1000.0,1000.0,1000.0,1000.0,984.0,1016.0
2,2026-03-17T06:58:02Z,Brooks,Andrew,+14.53,-14.53,1000.0,1000.0,1000.0,1000.0,969.47,1030.53
3,2026-03-17T07:04:08Z,Brooks,Andrew,+13.22,-13.22,1000.0,1000.0,1000.0,1000.0,956.25,1043.75
4,2026-03-17T07:10:39Z,Brooks,Andrew,+12.05,-12.05,1000.0,1000.0,1000.0,1000.0,944.2,1055.8
5,2026-03-17T07:16:00Z,Andrew,Brooks,+20.97,-20.97,1000.0,1000.0,1000.0,1000.0,965.17,1034.83
6,2026-03-17T07:21:22Z,Andrew,Brooks,+19.17,-19.17,1000.0,1000.0,1000.0,1000.0,984.34,1015.66
7,2026-03-17T19:31:49Z,Kevin,Andrew,+15.28,-15.28,1015.28,1000.0,1000.0,1000.0,969.06,1015.66
8,2026-03-17T19:37:09Z,Andrew,Kevin,+18.12,-18.12,997.16,1000.0,1000.0,1000.0,987.18,1015.66
9,2026-03-17T19:42:46Z,Andrew,Kevin,+16.46,-16.46,980.7,1000.0,1000.0,1000.0,1003.64,1015.66
10,2026-03-17T20:07:30Z,Kevin,Andrew,+17.05,-17.05,997.75,1000.0,1000.0,1000.0,986.59,1015.66
11,2026-03-17T20:13:08Z,Kevin,Andrew,+15.49,-15.49,1013.24,1000.0,1000.0,1000.0,971.1,1015.66
12,2026-03-17T20:19:27Z,Kevin,Andrew,+14.07,-14.07,1027.31,1000.0,1000.0,1000.0,957.03,1015.66
13,2026-03-17T21:35:07Z,Kevin,Brooks,+15.46,-15.46,1042.77,1000.0,1000.0,1000.0,957.03,1000.2
14,2026-03-17T21:39:44Z,Kevin,Brooks,+14.05,-14.05,1056.82,1000.0,1000.0,1000.0,957.03,986.15
15,2026-03-17T21:47:45Z,Andrew,Kevin,+20.47,-20.47,1036.35,1000.0,1000.0,1000.0,977.5,986.15
16,2026-03-17T22:58:42Z,Kevin,Laurent,+14.33,-14.33,1050.68,985.67,1000.0,1000.0,977.5,986.15
17,2026-03-17T23:03:53Z,Laurent,Kevin,+18.96,-18.96,1031.72,1004.63,1000.0,1000.0,977.5,986.15
18,2026-03-17T23:09:55Z,Laurent,Kevin,+17.25,-17.25,1014.47,1021.88,1000.0,1000.0,977.5,986.15
19,2026-03-17T23:16:01Z,Kevin,Laurent,+16.34,-16.34,1030.81,1005.54,1000.0,1000.0,977.5,986.15
20,2026-03-18T05:17:24Z,Andrew,Kevin,+18.44,-18.44,1012.37,1005.54,1000.0,1000.0,995.94,986.15
21,2026-03-18T05:24:25Z,Andrew,Kevin,+16.76,-16.76,995.61,1005.54,1000.0,1000.0,1012.7,986.15
22,2026-03-18T05:32:39Z,Kevin,Andrew,+16.79,-16.79,1012.4,1005.54,1000.0,1000.0,995.91,986.15
