modifier_name,total_games_played,Modifier_1_W,Modifier_2_W,Modifier_3_W,Modifier_4_W,Modifier_5_W,Modifier_1_L,Modifier_2_L,Modifier_3_L,Modifier_4_L,Modifier_5_L
Baby Dragon II,2,0,1,0,0,0,0,1,0,0,0
Barbarian Hut I,1,0,0,0,0,0,0,0,1,0,0
Barbarian Hut II,3,0,2,0,0,0,0,0,0,1,0
Berserker I,1,0,0,0,1,0,0,0,0,0,0
Berserker III,1,0,0,0,0,0,0,1,0,0,0
Dart Goblin II,1,0,0,0,0,0,0,0,1,0,0
Dart Goblin III,4,1,0,0,0,0,3,0,0,0,0
Electro Spirit I,3,0,0,1,1,0,0,0,1,0,0
Electro Spirit II,1,0,0,0,0,0,0,1,0,0,0
Electro Wizard I,2,0,0,1,0,0,0,0,0,1,0
Electro Wizard II,2,0,0,1,1,0,0,0,0,0,0
Executioner I,1,0,0,0,1,0,0,0,0,0,0
Executioner III,1,1,0,0,0,0,0,0,0,0,0
Fireball I,2,0,0,0,0,0,0,0,0,2,0
Fireball III,4,0,0,0,0,0,4,0,0,0,0
Flying Machine I,1,0,0,0,0,0,0,0,0,0,1
Flying Machine III,4,1,0,0,0,0,3,0,0,0,0
Giant I,1,0,0,0,0,0,0,0,0,1,0
Giant II,1,0,1,0,0,0,0,0,0,0,0
Goblin Barrel I,3,0,0,1,0,1,0,0,0,1,0
Goblin Barrel II,3,0,0,0,0,0,2,1,0,0,0
Goblin Barrel III,2,0,0,0,0,0,1,1,0,0,0
Goblin Demolisher II,1,0,0,0,0,0,0,0,1,0,0
Goblin Demolisher III,2,2,0,0,0,0,0,0,0,0,0
Goblin Giant II,1,0,0,0,0,0,0,1,0,0,0
Goblin Hut I,4,0,0,2,2,0,0,0,0,0,0
Goblin Hut II,3,0,2,0,0,0,0,1,0,0,0
Goblin Hut III,2,1,0,0,0,0,1,0,0,0,0
Golem I,2,0,0,0,1,0,0,0,1,0,0
Golem II,4,0,0,0,0,0,0,3,1,0,0
Graveyard I,3,0,0,0,1,0,0,0,0,2,0
Graveyard II,5,0,4,1,0,0,0,0,0,0,0
Hunter III,1,0,0,0,0,0,0,1,0,0,0
Ice Spirit II,2,0,1,0,0,0,0,1,0,0,0
Ice Spirit III,2,2,0,0,0,0,0,0,0,0,0
Knight I,2,0,0,0,0,0,0,0,2,0,0
Knight II,2,1,0,0,0,0,0,1,0,0,0
Knight III,2,2,0,0,0,0,0,0,0,0,0
Mortar I,1,0,0,0,0,0,0,0,0,1,0
Musketeer I,4,0,0,1,2,0,0,0,1,0,0
Musketeer II,5,0,2,2,0,0,0,0,1,0,0
Musketeer III,2,0,0,0,0,0,2,0,0,0,0
P.E.K.K.A I,1,0,0,0,0,0,0,0,1,0,0
P.E.K.K.A III,1,1,0,0,0,0,0,0,0,0,0
Poison I,4,0,0,2,0,0,0,0,1,0,1
Poison II,6,0,3,2,0,0,0,1,0,0,0
Poison III,1,1,0,0,0,0,0,0,0,0,0
Princess II,1,0,0,0,0,0,1,0,0,0,0
Rascals I,2,0,0,1,0,0,0,0,1,0,0
Rascals II,1,0,1,0,0,0,0,0,0,0,0
Royal Giant I,1,0,0,0,0,0,0,0,0,1,0
Suspicious Bush I,2,0,0,1,0,0,0,0,1,0,0
Suspicious Bush II,4,0,0,0,0,0,0,3,1,0,0
The Log I,6,0,0,1,4,1,0,0,0,0,0
The Log III,3,2,0,0,0,0,0,1,0,0,0
Tombstone I,1,0,0,1,0,0,0,0,0,0,0
Tombstone II,2,0,1,0,0,0,0,0,1,0,0
Tombstone III,2,2,0,0,0,0,0,0,0,0,0
Vines I,4,0,0,0,0,0,0,0,1,3,0
Vines III,1,1,0,0,0,0,0,0,0,0,0
Witch III,1,0,0,0,0,0,1,0,0,0,0
X-Bow I,2,0,0,0,0,0,0,0,1,1,0
